timestamp,open,high,low,close,volume
2021-08-31,217.3300,221.3250,217.0854,219.5000,6764472
2021-08-30,222.3500,222.3700,217.5300,217.6600,7587846
2021-08-27,217.4700,222.4300,216.8600,221.7500,7684922
2021-08-26,221.4100,222.9000,215.9100,216.5000,8341440
2021-08-25,221.5000,222.3000,219.1000,221.0300,6528930
2021-08-24,220.1100,223.1000,219.8000,221.4300,8942578
2021-08-23,215.8300,220.1800,215.3800,219.4000,10392069
2021-08-20,212.3100,214.7399,210.9400,212.6700,9335698
2021-08-19,216.3000,218.2965,211.7300,212.1600,11404356
2021-08-18,221.7300,223.6500,218.9000,219.0000,9000859
2021-08-17,226.2000,226.2400,219.8000,222.2200,13123951
2021-08-16,231.9000,232.0300,227.1400,229.0600,7626887
2021-08-13,238.0100,239.6900,234.2848,234.4600,6357579
2021-08-12,240.0000,241.1500,236.5100,238.1800,6816343
2021-08-11,236.6100,239.5900,234.5800,239.4900,9663966
2021-08-10,231.9700,236.8500,231.6200,235.7800,9603454
2021-08-09,229.0000,233.5723,226.8900,232.2700,8358622
2021-08-06,231.5500,233.5700,230.4200,231.3300,6061935
2021-08-05,226.6800,231.5400,226.4900,229.9400,8362602
2021-08-04,226.4200,232.3500,225.3300,226.6300,9756279
2021-08-03,225.9000,229.1000,221.3000,229.0900,7326398
2021-08-02,227.1900,230.4700,224.8700,225.3400,8889125
2021-07-30,229.3900,231.1800,225.4000,226.4800,9940082
2021-07-29,233.6900,234.8199,231.1200,231.6300,8512703
2021-07-28,234.0500,237.4900,231.3301,231.5700,19330500
2021-07-27,223.1700,225.7000,220.4200,222.2700,8784223
2021-07-26,220.0000,226.1209,219.8900,225.8500,8933194
2021-07-23,222.9700,224.6300,220.9400,221.5200,9379453
2021-07-22,221.5200,222.2500,218.3100,220.8700,9768898
2021-07-21,219.5000,224.0900,218.9000,222.5400,11437567
2021-07-20,208.1000,217.3699,206.6200,217.1500,17027300
2021-07-19,211.1800,211.5500,204.8000,206.9900,24123597
2021-07-16,223.1100,224.0000,217.0338,217.7400,12413422
2021-07-15,222.8800,226.6660,220.8000,222.7600,12228645
2021-07-14,229.0200,230.5150,224.3000,224.4500,12137004
2021-07-13,232.2700,234.4900,228.1600,228.2000,21029504
2021-07-12,237.9900,240.7700,236.4626,238.2900,9071492
2021-07-09,237.7700,240.3800,236.2200,239.5900,12385382
2021-07-08,227.4800,237.4700,226.1600,236.7700,17964250
2021-07-07,235.1700,238.0100,230.5201,231.7800,11497000
2021-07-06,236.8500,237.1727,233.4700,236.1400,11045802
2021-07-02,239.5500,240.1073,233.4700,236.6800,15722452
2021-07-01,240.3600,241.8000,238.6100,239.7300,9516185
2021-06-30,236.2400,241.1700,236.0000,239.5600,12089069
2021-06-29,243.7400,244.3700,235.6600,235.7600,16743926
2021-06-28,244.7300,245.0800,238.8800,239.9600,18151979
2021-06-25,250.7500,252.3000,248.2500,248.3800,9625783
2021-06-24,245.2000,250.7400,243.7000,250.5700,13755551
2021-06-23,244.8000,246.8700,243.1700,243.5700,9874664
2021-06-22,244.5000,244.6300,241.0800,243.7800,10042509
2021-06-21,238.6600,245.6200,237.2500,245.2800,15301780
2021-06-18,237.7900,239.3100,235.8000,237.3500,11965015
2021-06-17,241.9600,243.5000,237.3300,239.2200,10774398
2021-06-16,245.2500,246.0601,241.5500,242.2700,10436260
2021-06-15,245.3600,248.5100,244.9400,246.5400,10630916
2021-06-14,246.4400,249.2000,244.4000,245.1400,9344427
2021-06-11,250.3500,251.1200,245.7800,247.2800,9934179
2021-06-10,251.7200,255.1400,248.1000,248.3400,14519161
2021-06-09,251.2000,253.1700,247.9100,248.0600,10693220
2021-06-08,256.2600,256.3100,250.0000,252.7600,15113870
2021-06-07,251.5000,253.1999,248.8100,252.6600,10605972
2021-06-04,251.5100,251.7999,248.4900,249.9200,8798961
2021-06-03,252.9800,254.8000,249.6900,250.3200,10401952
2021-06-02,255.6000,258.3957,254.6200,255.6200,10820398
2021-06-01,253.0000,255.6400,251.5200,254.7300,13562787
2021-05-28,247.4750,248.9800,245.3700,247.0200,11197398
2021-05-27,248.1100,252.6000,247.1900,250.7000,18404388
2021-05-26,241.7000,242.4900,239.8700,241.3700,7240189
2021-05-25,240.0000,243.7800,239.2300,240.7400,12908035
2021-05-24,235.1400,238.5000,232.6000,237.4400,10105966
2021-05-21,232.9000,236.3000,231.3900,234.8200,16578995
2021-05-20,225.1300,228.4389,223.7700,227.6500,9218913
2021-05-19,223.1800,225.1200,220.2800,224.4200,13162733
2021-05-18,227.2500,232.2652,226.4300,227.5500,10081074
2021-05-17,226.2400,228.2600,223.5800,227.9800,9559323
2021-05-14,225.9900,228.8100,224.3500,228.4700,10162396
2021-05-13,223.0000,229.2700,219.0700,222.6400,16503373
2021-05-12,227.2500,229.7400,220.6300,220.7800,14931188
2021-05-11,226.5600,230.1299,223.8500,228.8800,16273165
2021-05-10,236.8400,241.1049,232.5000,232.9300,14813935
2021-05-07,229.8000,235.9050,227.9900,235.4700,12822993
2021-05-06,229.3000,231.1650,226.5450,229.8100,11857109
2021-05-05,232.4500,233.4900,227.5600,228.1800,14913500
2021-05-04,235.7500,236.6500,225.6500,233.6300,17807207
2021-05-03,234.1100,237.1000,233.8100,235.1900,9887848
2021-04-30,233.6800,236.7700,232.7000,234.3100,10380437
2021-04-29,237.0000,237.6800,231.8000,235.9400,12296078
2021-04-28,239.0000,239.6500,232.8500,235.4600,19054131
2021-04-27,241.8800,243.4900,239.4100,242.4700,10583259
2021-04-26,240.2400,244.6500,240.1000,241.4400,10599561
2021-04-23,233.8900,238.5800,233.1100,238.3800,11553322
2021-04-22,235.9550,239.6499,233.3800,234.3300,13854396
2021-04-21,232.2200,236.7600,230.2200,235.9200,12847033
2021-04-20,241.0300,241.0880,232.3400,234.0600,19483582
2021-04-19,247.0000,247.0000,242.2200,244.1500,9249340
2021-04-16,252.0000,253.0500,246.2312,248.1800,14605952
2021-04-15,253.5600,254.1200,249.4300,251.1100,9479008
2021-04-14,255.3200,258.3700,251.2800,252.4300,12661806
2021-04-13,248.3300,254.4873,246.1000,253.2700,15901401
2021-04-12,250.5700,251.5500,246.2900,249.5200,10383610
